#Top: top_module   Floorplan: impl_1   Part: xczu7ev-ffvc1156-2-e
#Generated by: PC   on: Sat Feb 15 16:59:46 2025
#Build: Vivado v2024.1.2   by: xbuild   on: Thu Sep  5 14:37:11 MDT 2024
#Package Version: PRODUCTION 1.2 10/30/2017
#Package Pin Delay Version: PRODUCTION 1.0 9/2/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM_ADV,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
28,A22,IOB_X0Y307,IO_L23P_T3U_N8_28,109.193,110.290,,,an[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,,,FP_VTT_50,,,
28,A21,IOB_X0Y304,IO_L21N_T3L_N5_AD8N_28,116.400,117.570,,,an[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,,,FP_VTT_50,,,
28,A20,IOB_X0Y303,IO_L21P_T3L_N4_AD8P_28,120.163,121.370,,,an[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,,,FP_VTT_50,,,
28,A19,IOB_X0Y300,IO_L19N_T3L_N1_DBC_AD9N_28,130.378,131.689,,,an[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,,,FP_VTT_50,,,
65,AA19,IOB_X2Y153,IO_L24P_T3U_N10_PERSTN1_I2C_SDA_65,117.056,118.232,,,eth_state[2],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
65,AA18,IOB_X2Y149,IO_L22P_T3U_N6_DBC_AD0P_65,133.583,134.925,,,eth_state[1],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
65,AA20,IOB_X2Y154,IO_L24N_T3U_N11_PERSTN0_65,119.782,120.986,,,eth_state[0],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
64,AA17,IOB_X2Y103,IO_T3U_N12_64,72.040,72.764,,,led_status[2],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
64,AA14,IOB_X2Y99,IO_L23P_T3U_N8_64,73.061,73.795,,,led_status[1],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
64,AA15,IOB_X2Y98,IO_L22N_T3U_N7_DBC_AD0N_64,72.980,73.714,,,led_status[0],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
68,A6,IOB_X2Y304,IO_L21N_T3L_N5_AD8N_68,149.519,151.022,,,sseg[7],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
68,A7,IOB_X2Y308,IO_L23N_T3U_N9_68,141.898,143.324,,,sseg[6],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
68,A8,IOB_X2Y307,IO_L23P_T3U_N8_68,139.335,140.735,,,sseg[5],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
68,A9,IOB_X2Y311,IO_T3U_N12_68,132.022,133.349,,,sseg[4],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
68,A10,IOB_X2Y306,IO_L22N_T3U_N7_DBC_AD0N_68,127.210,128.488,,,sseg[3],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
68,A11,IOB_X2Y310,IO_L24N_T3U_N11_68,124.599,125.852,,,sseg[2],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
67,A12,IOB_X2Y217,IO_L5N_T0U_N9_AD14N_67,181.611,183.436,,,sseg[1],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
67,A13,IOB_X2Y216,IO_L5P_T0U_N8_AD14P_67,183.659,185.505,,,sseg[0],OUT,,,LVCMOS12,8,SLOW,,,,,,,,,NONE,,,
28,C18,IOB_X0Y301,IO_L20P_T3L_N2_AD1P_28,132.124,133.452,,,btn,IN,,,LVCMOS18,,,,,,,,,,,,,,
